RecordID,Timestamp,RequestsIn Last Minute,ActiveVMs,AvgCPU%,AvgQueueLength,VMProvisioningDelay (s),Notes
34,20/10/2025 00:33,1041,9,46.3,2,0,Normal load
35,20/10/2025 00:34,1323,9,58.8,4.2,0,Normal load
36,20/10/2025 00:35,1017,9,45.2,1.9,0,Normal load
37,20/10/2025 00:36,1231,9,54.7,3.3,0,Normal load
38,20/10/2025 00:37,906,9,40.3,1.4,0,Normal load
39,20/10/2025 00:38,500,8,22.2,0.3,0,Scale-in
40,20/10/2025 00:39,1230,8,61.5,4.9,0,Normal load
41,20/10/2025 00:40,1311,8,65.6,6.2,0,Normal load
42,20/10/2025 00:41,1226,8,61.3,4.9,0,Normal load
43,20/10/2025 00:42,1183,8,59.2,4.3,0,Normal load
44,20/10/2025 00:43,1155,8,57.8,3.9,0,Normal load
45,20/10/2025 00:44,978,8,48.9,2.3,0,Normal load
46,20/10/2025 00:45,2730,8,100,50,60,Scale-out triggered
47,20/10/2025 00:46,1131,8,56.6,3.7,60,Provisioning new VM
48,20/10/2025 00:47,1359,8,68,7.2,60,Provisioning new VM
49,20/10/2025 00:48,1252,8,62.6,5.2,60,Provisioning new VM
50,20/10/2025 00:49,936,9,46.8,2.1,0,New VM active
51,20/10/2025 00:50,1249,9,55.5,3.5,0,Normal load
52,20/10/2025 00:51,1142,9,50.8,2.6,0,Normal load
53,20/10/2025 00:52,1098,9,48.8,2.3,0,Normal load
54,20/10/2025 00:53,1292,9,57.4,3.9,0,Normal load
55,20/10/2025 00:54,1355,9,60.2,4.6,0,Normal load
56,20/10/2025 00:55,1340,9,59.6,4.4,0,Normal load
57,20/10/2025 00:56,1074,9,47.7,2.2,0,Normal load
58,20/10/2025 00:57,1154,9,51.3,2.7,0,Normal load
59,20/10/2025 00:58,1250,9,55.6,3.5,0,Normal load
60,20/10/2025 00:59,1346,9,59.8,4.5,0,Normal load
61,20/10/2025 01:00,1128,9,50.1,2.5,0,Normal load
62,20/10/2025 01:01,1172,9,52.1,2.8,0,Normal load
63,20/10/2025 01:02,1034,9,46,2,0,Normal load
64,20/10/2025 01:03,1021,9,45.4,1.9,0,Normal load
65,20/10/2025 01:04,1322,9,58.8,4.2,0,Normal load
66,20/10/2025 01:05,1403,9,62.4,5.2,0,Normal load
67,20/10/2025 01:06,1189,9,52.8,3,0,Normal load
68,20/10/2025 01:07,1351,9,60,4.5,0,Normal load
69,20/10/2025 01:08,1254,9,55.7,3.5,0,Normal load
70,20/10/2025 01:09,2758,9,100,50,60,Scale-out triggered
71,20/10/2025 01:10,1254,9,55.7,3.5,60,Provisioning new VM
72,20/10/2025 01:11,1431,9,63.6,5.6,60,Provisioning new VM
73,20/10/2025 01:12,1195,9,53.1,3,60,Provisioning new VM
74,20/10/2025 01:13,1435,10,63.8,5.6,0,New VM active
75,20/10/2025 01:14,404,9,16.2,0.2,0,Scale-in
76,20/10/2025 01:15,1323,9,58.8,4.2,0,Normal load
77,20/10/2025 01:16,3033,9,100,50,60,Scale-out triggered
78,20/10/2025 01:17,2888,9,100,50,60,Provisioning new VM
79,20/10/2025 01:18,3034,9,100,50,60,Provisioning new VM
80,20/10/2025 01:19,902,9,40.1,1.3,60,Provisioning new VM
81,20/10/2025 01:20,1167,10,51.9,2.8,0,New VM active
82,20/10/2025 01:21,1254,10,50.2,2.5,0,Normal load
83,20/10/2025 01:22,1422,10,56.9,3.8,0,Normal load
84,20/10/2025 01:23,1122,10,44.9,1.8,0,Normal load
85,20/10/2025 01:24,1079,10,43.2,1.6,0,Normal load
86,20/10/2025 01:25,1125,10,45,1.8,0,Normal load
87,20/10/2025 01:26,1337,10,53.5,3.1,0,Normal load
88,20/10/2025 01:27,1249,10,50,2.5,0,Normal load
89,20/10/2025 01:28,1121,10,44.8,1.8,0,; Network event
90,20/10/2025 01:29,1277,10,51.1,2.7,0,Normal load
91,20/10/2025 01:30,1215,10,48.6,2.3,0,Normal load
92,20/10/2025 01:31,1345,10,53.8,3.1,0,Normal load
93,20/10/2025 01:32,1095,10,43.8,1.7,0,Normal load
94,20/10/2025 01:33,1151,10,46,2,0,Normal load
95,20/10/2025 01:34,2853,10,100,50,60,Scale-out triggered
96,20/10/2025 01:35,980,10,39.2,1.3,60,Provisioning new VM
97,20/10/2025 01:36,1244,10,49.8,2.5,60,Provisioning new VM
98,20/10/2025 01:37,1239,10,49.6,2.4,60,Provisioning new VM
99,20/10/2025 01:38,1201,11,48,2.2,0,New VM active
100,20/10/2025 01:39,1165,11,42.4,1.6,0,Normal load
101,20/10/2025 01:40,988,10,35.9,1,0,Scale-in
102,20/10/2025 01:41,1137,10,45.5,1.9,0,Normal load
103,20/10/2025 01:42,1149,10,46,2,0,Normal load
104,20/10/2025 01:43,1080,10,43.2,1.6,0,Normal load
105,20/10/2025 01:44,1176,10,47,2.1,0,Normal load
106,20/10/2025 01:45,630,9,25.2,0.4,0,Scale-in
107,20/10/2025 01:46,741,8,32.9,0.8,0,Scale-in
108,20/10/2025 01:47,1226,8,61.3,4.9,0,Normal load
109,20/10/2025 01:48,1239,8,62,5,0,Normal load
110,20/10/2025 01:49,1189,8,59.4,4.4,0,Normal load
111,20/10/2025 01:50,912,8,45.6,1.9,0,Normal load
112,20/10/2025 01:51,1196,8,59.8,4.4,0,Normal load
113,20/10/2025 01:52,3023,8,100,50,60,Scale-out triggered
114,20/10/2025 01:53,1569,8,78.4,14.3,60,Provisioning new VM
115,20/10/2025 01:54,1171,8,58.6,4.1,60,Provisioning new VM
116,20/10/2025 01:55,1245,8,62.3,5.1,60,Provisioning new VM
117,20/10/2025 01:56,597,8,29.8,0.6,0,Scale-in
118,20/10/2025 01:57,1025,8,51.2,2.7,0,Normal load
119,20/10/2025 01:58,1371,8,68.6,7.5,0,Normal load
120,20/10/2025 01:59,1313,8,65.6,6.3,0,Normal load
121,20/10/2025 02:00,1319,8,66,6.4,0,Normal load
122,20/10/2025 02:01,1064,8,53.2,3,0,Normal load
123,20/10/2025 02:02,3526,8,100,50,60,Scale-out triggered
124,20/10/2025 02:03,990,8,49.5,2.4,60,Provisioning new VM
125,20/10/2025 02:04,1288,8,64.4,5.8,60,Provisioning new VM
126,20/10/2025 02:05,1529,8,76.4,12.4,60,Provisioning new VM
127,20/10/2025 02:06,1051,9,52.6,2.9,0,New VM active
128,20/10/2025 02:07,1115,9,49.6,2.4,0,Normal load
129,20/10/2025 02:08,1215,9,54,3.2,0,Normal load
130,20/10/2025 02:09,1124,9,50,2.5,0,Normal load
131,20/10/2025 02:10,967,9,43,1.6,0,Normal load
132,20/10/2025 02:11,1210,9,53.8,3.1,0,Normal load
133,20/10/2025 02:12,1041,9,46.3,2,0,Normal load
134,20/10/2025 02:13,3178,9,100,50,60,Scale-out triggered
135,20/10/2025 02:14,1062,9,47.2,2.1,60,Provisioning new VM
136,20/10/2025 02:15,1432,9,63.6,5.6,60,Provisioning new VM
137,20/10/2025 02:16,1083,9,48.1,2.2,60,Provisioning new VM
138,20/10/2025 02:17,1152,10,51.2,2.7,0,New VM active
139,20/10/2025 02:18,1322,10,52.9,3,0,Normal load
140,20/10/2025 02:19,1015,10,40.6,1.4,0,Normal load
141,20/10/2025 02:20,1234,10,49.4,2.4,0,Normal load
142,20/10/2025 02:21,1396,10,55.8,3.5,0,Normal load
143,20/10/2025 02:22,959,9,38.4,1.2,0,Scale-in
144,20/10/2025 02:23,1228,9,54.6,3.3,0,Normal load
145,20/10/2025 02:24,619,8,27.5,0.5,0,Scale-in
146,20/10/2025 02:25,1317,8,65.8,6.3,0,Normal load
147,20/10/2025 02:26,1014,8,50.7,2.6,0,Normal load
148,20/10/2025 02:27,2505,8,100,50,60,Scale-out triggered
149,20/10/2025 02:28,3196,8,100,50,60,Provisioning new VM
150,20/10/2025 02:29,1245,8,62.3,5.1,60,Provisioning new VM
151,20/10/2025 02:30,1238,8,61.9,5,60,Provisioning new VM
152,20/10/2025 02:31,1252,9,62.6,5.2,0,New VM active
153,20/10/2025 02:32,1098,9,48.8,2.3,0,Normal load
154,20/10/2025 02:33,1235,9,54.9,3.3,0,Normal load
155,20/10/2025 02:34,1244,9,55.3,3.4,0,Normal load
156,20/10/2025 02:35,1093,9,48.6,2.3,0,Normal load
157,20/10/2025 02:36,1480,9,65.8,6.3,0,Normal load
158,20/10/2025 02:37,1271,9,56.5,3.7,0,Normal load
159,20/10/2025 02:38,1021,9,45.4,1.9,0,Normal load
160,20/10/2025 02:39,1298,9,57.7,3.9,0,Normal load
161,20/10/2025 02:40,1054,9,46.8,2.1,0,Normal load
162,20/10/2025 02:41,1318,9,58.6,4.1,0,Normal load
163,20/10/2025 02:42,687,8,30.5,0.7,0,Scale-in
164,20/10/2025 02:43,1077,8,53.8,3.1,0,Normal load
165,20/10/2025 02:44,1345,8,67.2,6.9,0,Normal load
166,20/10/2025 02:45,1262,8,63.1,5.4,0,Normal load
167,20/10/2025 02:46,1323,8,66.1,6.5,0,Normal load
168,20/10/2025 02:47,3711,8,100,50,60,Scale-out triggered
169,20/10/2025 02:48,1163,8,58.2,4,60,Provisioning new VM
170,20/10/2025 02:49,1087,8,54.4,3.2,60,Provisioning new VM
171,20/10/2025 02:50,1067,8,53.4,3.1,60,Provisioning new VM
172,20/10/2025 02:51,1078,9,53.9,3.2,0,New VM active
173,20/10/2025 02:52,1188,9,52.8,3,0,Normal load
174,20/10/2025 02:53,1251,9,55.6,3.5,0,Normal load
175,20/10/2025 02:54,1242,9,55.2,3.4,0,Normal load
176,20/10/2025 02:55,1324,9,58.8,4.2,0,Normal load
177,20/10/2025 02:56,1202,9,53.4,3.1,0,Normal load
178,20/10/2025 02:57,3545,9,100,50,60,Scale-out triggered
179,20/10/2025 02:58,1160,9,51.6,2.7,60,Provisioning new VM
180,20/10/2025 02:59,1600,9,71.1,8.8,60,Provisioning new VM
181,20/10/2025 03:00,1294,9,57.5,3.9,60,Provisioning new VM
182,20/10/2025 03:01,2679,10,100,50,0,New VM active
183,20/10/2025 03:02,1039,10,41.6,1.5,0,Normal load
184,20/10/2025 03:03,1272,10,50.9,2.6,0,Normal load
185,20/10/2025 03:04,1166,10,46.6,2,0,Normal load
186,20/10/2025 03:05,1307,10,52.3,2.9,0,Normal load
187,20/10/2025 03:06,1271,10,50.8,2.6,0,Normal load
188,20/10/2025 03:07,1189,10,47.6,2.2,0,Normal load
189,20/10/2025 03:08,1073,10,42.9,1.6,0,Normal load
190,20/10/2025 03:09,973,9,38.9,1.2,0,Scale-in
191,20/10/2025 03:10,1133,9,50.4,2.6,0,Normal load
192,20/10/2025 03:11,1328,9,59,4.3,0,Normal load
193,20/10/2025 03:12,1232,9,54.8,3.3,0,Normal load
194,20/10/2025 03:13,1013,9,45,1.8,0,Normal load
195,20/10/2025 03:14,1226,9,54.5,3.3,0,Normal load
196,20/10/2025 03:15,1258,9,55.9,3.5,0,Normal load
197,20/10/2025 03:16,1067,9,47.4,2.1,0,Normal load
198,20/10/2025 03:17,1223,9,54.4,3.2,0,Normal load
199,20/10/2025 03:18,1209,9,53.7,3.1,0,; Network event
200,20/10/2025 03:19,1029,9,45.7,1.9,0,Normal load
201,20/10/2025 03:20,1254,9,55.7,3.5,0,Normal load
202,20/10/2025 03:21,1284,9,57.1,3.8,0,Normal load
203,20/10/2025 03:22,1362,9,60.5,4.6,0,Normal load
204,20/10/2025 03:23,1358,9,60.4,4.6,0,Normal load
205,20/10/2025 03:24,993,9,44.1,1.7,0,Normal load
206,20/10/2025 03:25,1059,9,47.1,2.1,0,Normal load
207,20/10/2025 03:26,1277,9,56.8,3.7,0,Normal load
208,20/10/2025 03:27,1277,9,56.8,3.7,0,Normal load
209,20/10/2025 03:28,3193,9,100,50,60,Scale-out triggered
210,20/10/2025 03:29,4000,9,100,50,60,Provisioning new VM
211,20/10/2025 03:30,1286,9,57.2,3.8,60,Provisioning new VM
212,20/10/2025 03:31,1370,9,60.9,4.7,60,Provisioning new VM
213,20/10/2025 03:32,1343,10,59.7,4.4,0,New VM active
214,20/10/2025 03:33,1298,10,51.9,2.8,0,Normal load
215,20/10/2025 03:34,1153,10,46.1,2,0,Normal load
216,20/10/2025 03:35,1314,10,52.6,2.9,0,Normal load
217,20/10/2025 03:36,1084,10,43.4,1.7,0,Normal load
218,20/10/2025 03:37,1164,10,46.6,2,0,Normal load
219,20/10/2025 03:38,1127,10,45.1,1.9,0,Normal load
220,20/10/2025 03:39,1212,10,48.5,2.3,0,Normal load
221,20/10/2025 03:40,1547,10,61.9,5,0,Normal load
222,20/10/2025 03:41,920,9,36.8,1.1,0,Scale-in
223,20/10/2025 03:42,1303,9,57.9,4,0,Normal load
224,20/10/2025 03:43,958,9,42.6,1.6,0,Normal load
225,20/10/2025 03:44,1129,9,50.2,2.5,0,Normal load
226,20/10/2025 03:45,682,8,30.3,0.7,0,Scale-in
227,20/10/2025 03:46,1210,8,60.5,4.6,0,Normal load
228,20/10/2025 03:47,519,7,26,0.5,0,Scale-in
229,20/10/2025 03:48,546,6,31.2,0.7,0,Scale-in
230,20/10/2025 03:49,1302,6,86.8,28.5,60,Scale-out triggered
231,20/10/2025 03:50,1090,6,72.7,9.7,60,Provisioning new VM
232,20/10/2025 03:51,1232,6,82.1,18.9,60,Provisioning new VM
233,20/10/2025 03:52,3017,6,100,50,60,Provisioning new VM
234,20/10/2025 03:53,1102,7,73.5,10.2,0,New VM active
235,20/10/2025 03:54,1522,7,87,29,60,Scale-out triggered
236,20/10/2025 03:55,1295,7,74,10.5,60,Provisioning new VM
237,20/10/2025 03:56,896,7,51.2,2.7,60,Provisioning new VM
238,20/10/2025 03:57,1228,7,70.2,8.3,60,Provisioning new VM
239,20/10/2025 03:58,1101,8,62.9,5.3,0,New VM active
240,20/10/2025 03:59,1328,8,66.4,6.6,0,Normal load
241,20/10/2025 04:00,2703,8,100,50,60,Scale-out triggered
242,20/10/2025 04:01,1183,8,59.2,4.3,60,Provisioning new VM
243,20/10/2025 04:02,3189,8,100,50,60,Provisioning new VM
244,20/10/2025 04:03,1330,8,66.5,6.6,60,Provisioning new VM
245,20/10/2025 04:04,1020,9,51,2.7,0,New VM active
246,20/10/2025 04:05,1150,9,51.1,2.7,0,Normal load
247,20/10/2025 04:06,1129,9,50.2,2.5,0,Normal load
248,20/10/2025 04:07,1102,9,49,2.4,0,Normal load
249,20/10/2025 04:08,1465,9,65.1,6.1,0,Normal load
250,20/10/2025 04:09,1261,9,56,3.6,0,Normal load
251,20/10/2025 04:10,2527,9,100,50,60,Scale-out triggered
252,20/10/2025 04:11,669,9,29.7,0.6,60,Provisioning new VM
253,20/10/2025 04:12,1518,9,67.5,7,60,Provisioning new VM
254,20/10/2025 04:13,1355,9,60.2,4.6,60,Provisioning new VM
255,20/10/2025 04:14,972,10,43.2,1.6,0,New VM active
256,20/10/2025 04:15,1127,10,45.1,1.9,0,Normal load
257,20/10/2025 04:16,3475,10,100,50,60,Scale-out triggered
258,20/10/2025 04:17,1094,10,43.8,1.7,60,Provisioning new VM
259,20/10/2025 04:18,1267,10,50.7,2.6,60,Provisioning new VM
260,20/10/2025 04:19,658,10,26.3,0.5,60,Provisioning new VM
261,20/10/2025 04:20,1061,11,42.4,1.6,0,New VM active
262,20/10/2025 04:21,1191,11,43.3,1.7,0,Normal load
263,20/10/2025 04:22,800,10,29.1,0.6,0,Scale-in
264,20/10/2025 04:23,1046,10,41.8,1.5,0,Normal load
265,20/10/2025 04:24,1162,10,46.5,2,0,Normal load
266,20/10/2025 04:25,1013,10,40.5,1.4,0,Normal load
267,20/10/2025 04:26,1445,10,57.8,4,0,Normal load
268,20/10/2025 04:27,985,9,39.4,1.3,0,Scale-in
269,20/10/2025 04:28,1134,9,50.4,2.6,0,Normal load
270,20/10/2025 04:29,1220,9,54.2,3.2,0,Normal load
271,20/10/2025 04:30,1416,9,62.9,5.3,0,Normal load
272,20/10/2025 04:31,985,9,43.8,1.7,0,Normal load
273,20/10/2025 04:32,1374,9,61.1,4.8,0,Normal load
274,20/10/2025 04:33,1202,9,53.4,3.1,0,Normal load
275,20/10/2025 04:34,1053,9,46.8,2.1,0,Normal load
276,20/10/2025 04:35,1269,9,56.4,3.6,0,Normal load
277,20/10/2025 04:36,1230,9,54.7,3.3,0,Normal load
278,20/10/2025 04:37,1110,9,49.3,2.4,0,Normal load
279,20/10/2025 04:38,1210,9,53.8,3.1,0,Normal load
280,20/10/2025 04:39,1142,9,50.8,2.6,0,Normal load
281,20/10/2025 04:40,1217,9,54.1,3.2,0,Normal load
282,20/10/2025 04:41,1299,9,57.7,3.9,0,Normal load
283,20/10/2025 04:42,1438,9,63.9,5.7,0,Normal load
284,20/10/2025 04:43,1014,9,45.1,1.8,0,Normal load
285,20/10/2025 04:44,1520,9,67.6,7,0,Normal load
286,20/10/2025 04:45,2268,9,100,50,60,Scale-out triggered
287,20/10/2025 04:46,1177,9,52.3,2.9,60,Provisioning new VM
288,20/10/2025 04:47,1288,9,57.2,3.8,60,Provisioning new VM
289,20/10/2025 04:48,1242,9,55.2,3.4,60,Provisioning new VM
290,20/10/2025 04:49,1107,10,49.2,2.4,0,New VM active
291,20/10/2025 04:50,1169,10,46.8,2.1,0,Normal load
292,20/10/2025 04:51,1126,10,45,1.8,0,Normal load
293,20/10/2025 04:52,1112,10,44.5,1.8,0,Normal load
294,20/10/2025 04:53,1327,10,53.1,3,0,Normal load
295,20/10/2025 04:54,1254,10,50.2,2.5,0,Normal load
296,20/10/2025 04:55,1096,10,43.8,1.7,0,Normal load
297,20/10/2025 04:56,1335,10,53.4,3.1,0,Normal load
298,20/10/2025 04:57,1246,10,49.8,2.5,0,Normal load
299,20/10/2025 04:58,661,9,26.4,0.5,0,Scale-in
300,20/10/2025 04:59,1294,9,57.5,3.9,0,Normal load
301,20/10/2025 05:00,2689,9,100,50,60,Scale-out triggered
302,20/10/2025 05:01,1116,9,49.6,2.4,60,Provisioning new VM
303,20/10/2025 05:02,1312,9,58.3,4.1,60,Provisioning new VM
304,20/10/2025 05:03,1292,9,57.4,3.9,60,Provisioning new VM
305,20/10/2025 05:04,1197,10,53.2,3,0,New VM active
306,20/10/2025 05:05,1218,10,48.7,2.3,0,Normal load
307,20/10/2025 05:06,1392,10,55.7,3.5,0,Normal load
308,20/10/2025 05:07,1111,10,44.4,1.8,0,Normal load
309,20/10/2025 05:08,3205,10,100,50,60,Scale-out triggered
310,20/10/2025 05:09,1170,10,46.8,2.1,60,Provisioning new VM
311,20/10/2025 05:10,1167,10,46.7,2,60,Provisioning new VM
312,20/10/2025 05:11,1365,10,54.6,3.3,60,Provisioning new VM
313,20/10/2025 05:12,1324,11,53,3,0,New VM active
314,20/10/2025 05:13,1322,11,48.1,2.2,0,Normal load
315,20/10/2025 05:14,1396,11,50.8,2.6,0,Normal load
316,20/10/2025 05:15,3008,11,100,50,60,Scale-out triggered
317,20/10/2025 05:16,1302,11,47.3,2.1,60,Provisioning new VM
318,20/10/2025 05:17,1153,11,41.9,1.5,60,Provisioning new VM
319,20/10/2025 05:18,1249,11,45.4,1.9,60,Provisioning new VM
320,20/10/2025 05:19,2951,12,100,50,0,New VM active
321,20/10/2025 05:20,1215,12,40.5,1.4,0,Normal load
322,20/10/2025 05:21,1289,12,43,1.6,0,Normal load
323,20/10/2025 05:22,1077,11,35.9,1,0,Scale-in
324,20/10/2025 05:23,1514,11,55.1,3.4,0,Normal load
325,20/10/2025 05:24,1049,10,38.1,1.2,0,Scale-in
326,20/10/2025 05:25,1018,10,40.7,1.4,0,Normal load
327,20/10/2025 05:26,1374,10,55,3.4,0,Normal load
328,20/10/2025 05:27,1319,10,52.8,2.9,0,Normal load
329,20/10/2025 05:28,1294,10,51.8,2.8,0,Normal load
330,20/10/2025 05:29,1294,10,51.8,2.8,0,Normal load
331,20/10/2025 05:30,1198,10,47.9,2.2,0,Normal load
332,20/10/2025 05:31,1065,10,42.6,1.6,0,Normal load
333,20/10/2025 05:32,1211,10,48.4,2.3,0,Normal load
334,20/10/2025 05:33,1098,10,43.9,1.7,0,Normal load
335,20/10/2025 05:34,1346,10,53.8,3.1,0,Normal load
336,20/10/2025 05:35,1178,10,47.1,2.1,0,Normal load
337,20/10/2025 05:36,2690,10,100,50,60,Scale-out triggered
338,20/10/2025 05:37,1152,10,46.1,2,60,Provisioning new VM
339,20/10/2025 05:38,1262,10,50.5,2.6,60,Provisioning new VM
340,20/10/2025 05:39,1115,10,44.6,1.8,60,Provisioning new VM
341,20/10/2025 05:40,1077,11,43.1,1.6,0,New VM active
342,20/10/2025 05:41,1237,11,45,1.8,0,Normal load
343,20/10/2025 05:42,1237,11,45,1.8,0,Normal load
344,20/10/2025 05:43,1124,11,40.9,1.4,0,Normal load
345,20/10/2025 05:44,1129,11,41.1,1.4,0,Normal load
346,20/10/2025 05:45,1235,11,44.9,1.8,0,Normal load
347,20/10/2025 05:46,983,10,35.7,1,0,Scale-in
348,20/10/2025 05:47,989,9,39.6,1.3,0,Scale-in
349,20/10/2025 05:48,1092,9,48.5,2.3,0,Normal load
350,20/10/2025 05:49,2920,9,100,50,60,Scale-out triggered
351,20/10/2025 05:50,623,9,27.7,0.5,60,Provisioning new VM
352,20/10/2025 05:51,1421,9,63.2,5.4,60,Provisioning new VM
353,20/10/2025 05:52,1329,9,59.1,4.3,60,Provisioning new VM
354,20/10/2025 05:53,1176,10,52.3,2.9,0,New VM active
355,20/10/2025 05:54,1197,10,47.9,2.2,0,Normal load
356,20/10/2025 05:55,1050,10,42,1.5,0,Normal load
357,20/10/2025 05:56,1197,10,47.9,2.2,0,Normal load
358,20/10/2025 05:57,1157,10,46.3,2,0,Normal load
359,20/10/2025 05:58,1248,10,49.9,2.5,0,Normal load
360,20/10/2025 05:59,1076,10,43,1.6,0,Normal load
361,20/10/2025 06:00,1278,10,51.1,2.7,0,Normal load
362,20/10/2025 06:01,1430,10,57.2,3.8,0,Normal load
363,20/10/2025 06:02,1184,10,47.4,2.1,0,Normal load
364,20/10/2025 06:03,630,9,25.2,0.4,0,Scale-in
365,20/10/2025 06:04,1304,9,58,4,0,Normal load
366,20/10/2025 06:05,1140,9,50.7,2.6,0,Normal load
367,20/10/2025 06:06,3084,9,100,50,60,Scale-out triggered
368,20/10/2025 06:07,601,9,26.7,0.5,60,Provisioning new VM
369,20/10/2025 06:08,1215,9,54,3.2,60,Provisioning new VM
370,20/10/2025 06:09,1084,9,48.2,2.2,60,Provisioning new VM
371,20/10/2025 06:10,1204,10,53.5,3.1,0,New VM active
372,20/10/2025 06:11,1275,10,51,2.7,0,Normal load
373,20/10/2025 06:12,1418,10,56.7,3.7,0,Normal load
374,20/10/2025 06:13,1344,10,53.8,3.1,0,Normal load
375,20/10/2025 06:14,1523,10,60.9,4.7,0,Normal load
376,20/10/2025 06:15,1085,10,43.4,1.7,0,Normal load
377,20/10/2025 06:16,1331,10,53.2,3,0,Normal load
378,20/10/2025 06:17,1228,10,49.1,2.4,0,Normal load
379,20/10/2025 06:18,1528,10,61.1,4.8,0,Normal load
380,20/10/2025 06:19,1079,10,43.2,1.6,0,Normal load
381,20/10/2025 06:20,1074,10,43,1.6,0,Normal load
382,20/10/2025 06:21,1110,10,44.4,1.8,0,Normal load
383,20/10/2025 06:22,881,9,35.2,1,0,Scale-in
384,20/10/2025 06:23,2803,9,100,50,60,Scale-out triggered
385,20/10/2025 06:24,1086,9,48.3,2.3,60,Provisioning new VM
386,20/10/2025 06:25,1223,9,54.4,3.2,60,Provisioning new VM
387,20/10/2025 06:26,1251,9,55.6,3.5,60,Provisioning new VM
388,20/10/2025 06:27,1481,10,65.8,6.3,0,New VM active
389,20/10/2025 06:28,1343,10,53.7,3.1,0,Normal load
390,20/10/2025 06:29,1113,10,44.5,1.8,0,Normal load
391,20/10/2025 06:30,1065,10,42.6,1.6,0,Normal load
392,20/10/2025 06:31,1274,10,51,2.6,0,Normal load
393,20/10/2025 06:32,1002,10,40.1,1.3,0,Normal load
394,20/10/2025 06:33,1475,10,59,4.2,0,Normal load
395,20/10/2025 06:34,1377,10,55.1,3.4,0,Normal load
396,20/10/2025 06:35,565,9,22.6,0.3,0,Scale-in
397,20/10/2025 06:36,943,9,41.9,1.5,0,Normal load
398,20/10/2025 06:37,1403,9,62.4,5.2,0,Normal load
399,20/10/2025 06:38,1183,9,52.6,2.9,0,Normal load
400,20/10/2025 06:39,1386,9,61.6,4.9,0,Normal load
401,20/10/2025 06:40,961,9,42.7,1.6,0,Normal load
402,20/10/2025 06:41,1110,9,49.3,2.4,0,Normal load
403,20/10/2025 06:42,1201,9,53.4,3.1,0,Normal load
404,20/10/2025 06:43,1207,9,53.6,3.1,0,Normal load
405,20/10/2025 06:44,1132,9,50.3,2.5,0,Normal load
406,20/10/2025 06:45,1293,9,57.5,3.9,0,Normal load
407,20/10/2025 06:46,1040,9,46.2,2,0,Normal load
408,20/10/2025 06:47,1179,9,52.4,2.9,0,Normal load
409,20/10/2025 06:48,1218,9,54.1,3.2,0,Normal load
410,20/10/2025 06:49,1277,9,56.8,3.7,0,Normal load
411,20/10/2025 06:50,1307,9,58.1,4,0,Normal load
412,20/10/2025 06:51,1031,9,45.8,1.9,0,Normal load
413,20/10/2025 06:52,970,9,43.1,1.6,0,Normal load
414,20/10/2025 06:53,1392,9,61.9,5,0,Normal load
415,20/10/2025 06:54,3125,9,100,50,60,Scale-out triggered
416,20/10/2025 06:55,1088,9,48.4,2.3,60,Provisioning new VM
